I.Q. (1994)|Quiz Show (1994)|Three Colors: Red (1994)|Santa Clause, The (1994)|Fish Called Wanda, A (1988)|Wrong Trousers, The (1993)|Good, The Bad and The Ugly, The (1966)|Army of Darkness (1993)|Grand Day Out, A (1992)|Jerry Maguire (1996)
Mighty Aphrodite (1995)|Spitfire Grill, The (1996)|Paradise Lost: The Child Murders at Robin Hood Hills (1996)|Desperate Measures (1998)|Fallen (1998)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Quick and the Dead, The (1995)|Time Tracers (1995)
Sleeper (1973)|Delicatessen (1991)|Apocalypse Now (1979)|Blues Brothers, The (1980)|This Is Spinal Tap (1984)|Client, The (1994)|Aladdin and the King of Thieves (1996)|Some Like It Hot (1959)|Red Corner (1997)|Surviving Picasso (1996)
Nikita (La Femme Nikita) (1990)|Deceiver (1997)|Big Sleep, The (1946)|Traveller (1997)|Stephen King's The Langoliers (1995)|House of the Spirits, The (1993)|She's So Lovely (1997)|Mrs. Dalloway (1997)|Old Man and the Sea, The (1958)|Low Life, The (1994)
Clockwork Orange, A (1971)|Chasing Amy (1997)|Secrets & Lies (1996)|In the Name of the Father (1993)|Aladdin and the King of Thieves (1996)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Tales from the Hood (1995)
Toy Story (1995)|Ed Wood (1994)|Santa Clause, The (1994)|Rock, The (1996)|Reservoir Dogs (1992)|Clockwork Orange, A (1971)|Room with a View, A (1986)|In the Name of the Father (1993)|Man Without a Face, The (1993)|Bastard Out of Carolina (1996)
Professional, The (1994)|Horseman on the Roof, The (Hussard sur le toit, Le) (1995)|Dirty Dancing (1987)|Jerry Maguire (1996)|Austin Powers: International Man of Mystery (1997)|In & Out (1997)|Client, The (1994)|Smoke (1995)|Boot, Das (1981)|Heidi Fleiss: Hollywood Madam (1995) 
Postino, Il (1994)|Forrest Gump (1994)|Remains of the Day, The (1993)|Return of the Pink Panther, The (1974)|Private Benjamin (1980)|Return of the Jedi (1983)|Dead Poets Society (1989)|Deep Rising (1998)|James and the Giant Peach (1996)|Dark City (1998)
Postino, Il (1994)|Rumble in the Bronx (1995)|In & Out (1997)|Midnight in the Garden of Good and Evil (1997)|Client, The (1994)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Seventh Seal, The (Sjunde inseglet, Det) (1957)|First Knight (1995)|Balto (1995)|What Happened Was... (1994)
Professional, The (1994)|Aladdin (1992)|Brazil (1985)|Army of Darkness (1993)|Hoodlum (1997)|Jeffrey (1995)|Naked Gun 33 1/3: The Final Insult (1994)|Striking Distance (1993)|Rob Roy (1995)|Phantom, The (1996)
Four Rooms (1995)|Twelve Monkeys (1995)|Braveheart (1995)|Snow White and the Seven Dwarfs (1937)|Return of the Pink Panther, The (1974)|Private Benjamin (1980)|Ran (1985)|Somewhere in Time (1980)|Substance of Fire, The (1996)|Pyromaniac's Love Story, A (1995)
Four Rooms (1995)|Horseman on the Roof, The (Hussard sur le toit, Le) (1995)|Chasing Amy (1997)|L.A. Confidential (1997)|Jackie Brown (1997)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|That Darn Cat! (1997)|You So Crazy (1994)
Ulee's Gold (1997)|Hoodlum (1997)|Air Force One (1997)|Schindler's List (1993)|Edge, The (1997)|Mad City (1997)|Waterworld (1995)|White Man's Burden (1995)|Last Time I Committed Suicide, The (1997)|You So Crazy (1994)
Aladdin (1992)|Bram Stoker's Dracula (1992)|Devil's Own, The (1997)|unknown|Aladdin and the King of Thieves (1996)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Maltese Falcon, The (1941)|Rocket Man (1997)|Stealing Beauty (1996)|Balto (1995)
I.Q. (1994)|Terminator 2: Judgment Day (1991)|Princess Bride, The (1987)|Sting, The (1973)|Star Trek: First Contact (1996)|Midnight in the Garden of Good and Evil (1997)|Client, The (1994)|Highlander (1986)|Streetcar Named Desire, A (1951)|Great Escape, The (1963)
Home Alone (1990)|Batman & Robin (1997)|Emma (1996)|Scream (1996)|Liar Liar (1997)|FairyTale: A True Story (1997)|Vampire in Brooklyn (1995)|Last Supper, The (1995)|Saint, The (1997)|Walkabout (1971)
Natural Born Killers (1994)|Crow, The (1994)|Breaking the Waves (1996)|Sphere (1998)|Brady Bunch Movie, The (1995)|Ghost (1990)|Aladdin and the King of Thieves (1996)|NeverEnding Story III, The (1994)|Philadelphia (1993)|Up in Smoke (1978)
Bedknobs and Broomsticks (1971)|Parent Trap, The (1961)|Transformers: The Movie, The (1986)|Apartment, The (1960)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Tales from the Hood (1995)|You So Crazy (1994)
Seven (Se7en) (1995)|Taxi Driver (1976)|Rumble in the Bronx (1995)|Crow, The (1994)|Sleepless in Seattle (1993)|Nightmare Before Christmas, The (1993)|Dances with Wolves (1990)|Jude (1996)|Henry V (1989)|Mars Attacks! (1996)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Striptease (1996)|Frighteners, The (1996)|Supercop (1992)|Jungle2Jungle (1997)|Rosewood (1997)|Dante's Peak (1997)|Jane Eyre (1996)|Stealing Beauty (1996)|Bottle Rocket (1996)
Unforgiven (1992)|Starship Troopers (1997)|Sabrina (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Village of the Damned (1995)|You So Crazy (1994)
Smilla's Sense of Snow (1997)|Secrets & Lies (1996)|Apt Pupil (1998)|Gandhi (1982)|Killing Fields, The (1984)|My Life as a Dog (Mitt liv som hund) (1985)|Waterworld (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Scream 2 (1997)
Muppet Treasure Island (1996)|Rumble in the Bronx (1995)|Four Weddings and a Funeral (1994)|Psycho (1960)|Terminator, The (1984)|Young Guns (1988)|Brady Bunch Movie, The (1995)|Forbidden Planet (1956)|Around the World in 80 Days (1956)|House Arrest (1996)
Postino, Il (1994)|Striptease (1996)|Swingers (1996)|Shall We Dance? (1996)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Ice Storm, The (1997)|You So Crazy (1994)
I.Q. (1994)|Legends of the Fall (1994)|Breakfast at Tiffany's (1961)|Dead Poets Society (1989)|Devil's Own, The (1997)|Chasing Amy (1997)|Secrets & Lies (1996)|Forbidden Planet (1956)|James and the Giant Peach (1996)|East of Eden (1955)
Spitfire Grill, The (1996)|Private Benjamin (1980)|Blues Brothers, The (1980)|Sabrina (1995)|Sense and Sensibility (1995)|Client, The (1994)|Forbidden Planet (1956)|African Queen, The (1951)|American in Paris, An (1951)|Manhattan Murder Mystery (1993)
Professional, The (1994)|Dances with Wolves (1990)|Twister (1996)|Citizen Kane (1941)|Wrong Trousers, The (1993)|Back to the Future (1985)|Cyrano de Bergerac (1990)|In the Name of the Father (1993)|Apartment, The (1960)|Some Like It Hot (1959)
Sleeper (1973)|Princess Bride, The (1987)|Dead Poets Society (1989)|Tin Cup (1996)|Vertigo (1958)|Cool Hand Luke (1967)|American in Paris, An (1951)|Once Upon a Time in the West (1969)|Ran (1985)|Miami Rhapsody (1995)
Bad Boys (1995)|Terminator 2: Judgment Day (1991)|Wizard of Oz, The (1939)|Wrong Trousers, The (1993)|Delicatessen (1991)|Princess Bride, The (1987)|Mrs. Brown (Her Majesty, Mrs. Brown) (1997)|Chinatown (1974)|Pump Up the Volume (1990)|Executive Decision (1996)
Spitfire Grill, The (1996)|Sleeper (1973)|Princess Bride, The (1987)|Henry V (1989)|Some Like It Hot (1959)|Bringing Up Baby (1938)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Stand by Me (1986)|You So Crazy (1994)
Shall We Dance? (1996)|Tombstone (1993)|Trainspotting (1996)|White Man's Burden (1995)|Wild Bill (1995)|Quick and the Dead, The (1995)|Body Snatchers (1993)|City Slickers II: The Legend of Curly's Gold (1994)|Jumanji (1995)|Great Day in Harlem, A (1994)
Professional, The (1994)|So I Married an Axe Murderer (1993)|GoodFellas (1990)|unknown|As Good As It Gets (1997)|Transformers: The Movie, The (1986)|To Kill a Mockingbird (1962)|Day the Earth Stood Still, The (1951)|Touch of Evil (1958)|Pump Up the Volume (1990)
Chasing Amy (1997)|Scream (1996)|How to Be a Player (1997)|One Flew Over the Cuckoo's Nest (1975)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Quick and the Dead, The (1995)|Love Jones (1997)|You So Crazy (1994)
Midnight in the Garden of Good and Evil (1997)|U Turn (1997)|Hard Rain (1998)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Stephen King's The Langoliers (1995)|You So Crazy (1994)
Operation Dumbo Drop (1995)|Citizen Ruth (1996)|187 (1997)|Wonderland (1997)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Pretty Woman (1990)|You So Crazy (1994)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Lone Star (1996)|Swingers (1996)|Right Stuff, The (1983)|Star Trek: First Contact (1996)|Secrets & Lies (1996)|Ice Storm, The (1997)|Aladdin and the King of Thieves (1996)|Kalifornia (1993)|My Family (1995)
Legends of the Fall (1994)|Four Weddings and a Funeral (1994)|Terminator 2: Judgment Day (1991)|Empire Strikes Back, The (1980)|Princess Bride, The (1987)|Clockwork Orange, A (1971)|Breaking the Waves (1996)|Fan, The (1996)|Strictly Ballroom (1992)
Angels and Insects (1995)|Wizard of Oz, The (1939)|Walk in the Clouds, A (1995)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Quick and the Dead, The (1995)|Home for the Holidays (1995)|Shooter, The (1995)
Professional, The (1994)|Dances with Wolves (1990)|Snow White and the Seven Dwarfs (1937)|Delicatessen (1991)|Cyrano de Bergerac (1990)|Indiana Jones and the Last Crusade (1989)|Batman Returns (1992)|Mars Attacks! (1996)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Jane Eyre (1996)
Swingers (1996)|Breaking the Waves (1996)|Men in Black (1997)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Village of the Damned (1995)|Philadelphia (1993)
I.Q. (1994)|Outbreak (1995)|Sleeper (1973)|Dirty Dancing (1987)|Apocalypse Now (1979)|GoodFellas (1990)|Grosse Pointe Blank (1997)|Austin Powers: International Man of Mystery (1997)|Donnie Brasco (1997)
Babe (1995)|Professional, The (1994)|Priest (1994)|Jurassic Park (1993)|Snow White and the Seven Dwarfs (1937)|Frighteners, The (1996)|Groundhog Day (1993)|In & Out (1997)|Transformers: The Movie, The (1986)|Philadelphia Story, The (1940)
Citizen Kane (1941)|Princess Bride, The (1987)|Raiders of the Lost Ark (1981)|Bridge on the River Kwai, The (1957)|Men in Black (1997)|Rosewood (1997)|Client, The (1994)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Ben-Hur (1959)|Ghosts of Mississippi (1996)
Muppet Treasure Island (1996)|Outbreak (1995)|Snow White and the Seven Dwarfs (1937)|Swingers (1996)|Apocalypse Now (1979)|Army of Darkness (1993)|Turbo: A Power Rangers Movie (1997)|Pinocchio (1940)|Laura (1944)|Freeway (1996)
Mighty Aphrodite (1995)|Secrets & Lies (1996)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Boxing Helena (1993)|City Slickers II: The Legend of Curly's Gold (1994)|Last Supper, The (1995)
Jurassic Park (1993)|Terminator 2: Judgment Day (1991)|Lone Star (1996)|Empire Strikes Back, The (1980)|Raiders of the Lost Ark (1981)|Under Siege (1992)|Down by Law (1986)|Hour of the Pig, The (1993)|House of the Spirits, The (1993)
Santa Clause, The (1994)|Princess Bride, The (1987)|GoodFellas (1990)|Breaking the Waves (1996)|Star Trek VI: The Undiscovered Country (1991)|Cinderella (1950)|Aladdin and the King of Thieves (1996)|Bringing Up Baby (1938)|Candidate, The (1972)|Red Corner (1997)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|When Harry Met Sally... (1989)|Breaking the Waves (1996)|Smilla's Sense of Snow (1997)|Pinocchio (1940)|Very Brady Sequel, A (1996)|Great White Hype, The (1996)|Alaska (1996)|Bulletproof (1996)|Last Man Standing (1996)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Striptease (1996)|Sting, The (1973)|Bram Stoker's Dracula (1992)|Under Siege (1992)|Trainspotting (1996)|My Own Private Idaho (1991)|Hellraiser: Bloodline (1996)|In the Line of Fire (1993)|Corrina, Corrina (1994)
Pulp Fiction (1994)|Snow White and the Seven Dwarfs (1937)|Sabrina (1995)|Apostle, The (1997)|Kalifornia (1993)|Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)|Ghosts of Mississippi (1996)|Stalker (1979)|Here Comes Cookie (1935)|Hideaway (1995)
Hoodlum (1997)|3 Ninjas: High Noon At Mega Mountain (1998)|Crash (1996)|My Life as a Dog (Mitt liv som hund) (1985)|Species (1995)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Flubber (1997)
Terminator 2: Judgment Day (1991)|Moll Flanders (1996)|Delicatessen (1991)|Empire Strikes Back, The (1980)|12 Angry Men (1957)|Jaws (1975)|Vampire in Brooklyn (1995)|Village of the Damned (1995)|To Live (Huozhe) (1994)|Shallow Grave (1994)
Schindler's List (1993)|Crash (1996)|My Own Private Idaho (1991)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Tales from the Hood (1995)|Wishmaster (1997)
Lone Star (1996)|Donnie Brasco (1997)|Hoodlum (1997)|Crash (1996)|Critical Care (1997)|Spawn (1997)|Farinelli: il castrato (1994)|Fan, The (1996)|Underworld (1997)|Other Voices, Other Rooms (1997)
Richard III (1995)|Outbreak (1995)|Professional, The (1994)|Monty Python and the Holy Grail (1974)|Henry V (1989)|Time to Kill, A (1996)|Transformers: The Movie, The (1986)|Burnt Offerings (1976)|Hour of the Pig, The (1993)|Castle Freak (1995)
Ref, The (1994)|Citizen Kane (1941)|2001: A Space Odyssey (1968)|Clockwork Orange, A (1971)|Terminator, The (1984)|Citizen Ruth (1996)|Client, The (1994)|Cinderella (1950)|My Fair Lady (1964)|Magnificent Seven, The (1954)
Seven (Se7en) (1995)|Braveheart (1995)|Mr. Smith Goes to Washington (1939)|Return of the Jedi (1983)|GoodFellas (1990)|Alien (1979)|Fantasia (1940)|Heavenly Creatures (1994)|Thin Blue Line, The (1988)|Baby-Sitters Club, The (1995)
I.Q. (1994)|Apocalypse Now (1979)|Good Will Hunting (1997)|Cop Land (1997)|Robin Hood: Prince of Thieves (1991)|Last Supper, The (1995)|Benny & Joon (1993)|Great Day in Harlem, A (1994)|Eye for an Eye (1996)|Savage Nights (Nuits fauves, Les) (1992)
Mighty Aphrodite (1995)|Snow White and the Seven Dwarfs (1937)|Frighteners, The (1996)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Tales from the Hood (1995)
Outbreak (1995)|Professional, The (1994)|Santa Clause, The (1994)|Blues Brothers, The (1980)|Field of Dreams (1989)|Some Like It Hot (1959)|Annie Hall (1977)|Once Upon a Time in the West (1969)|Touch of Evil (1958)|American President, The (1995)
Professional, The (1994)|Sleepless in Seattle (1993)|Horseman on the Roof, The (Hussard sur le toit, Le) (1995)|Bedknobs and Broomsticks (1971)|GoodFellas (1990)|Full Metal Jacket (1987)|Star Trek: First Contact (1996)|Devil's Own, The (1997)|Chasing Amy (1997)|Some Like It Hot (1959)
Frighteners, The (1996)|Wizard of Oz, The (1939)|Fish Called Wanda, A (1988)|Return of the Jedi (1983)|Evil Dead II (1987)|Devil's Own, The (1997)|Tin Cup (1996)|Burnt Offerings (1976)|Killing Fields, The (1984)|House of the Spirits, The (1993)
I.Q. (1994)|Dirty Dancing (1987)|101 Dalmatians (1996)|Miracle on 34th Street (1994)|Alice in Wonderland (1951)|Village of the Damned (1995)|Rocket Man (1997)|Boys Life (1995)|Vegas Vacation (1997)|My Family (1995)
Seven (Se7en) (1995)|I.Q. (1994)|Breakfast at Tiffany's (1961)|Wrong Trousers, The (1993)|East of Eden (1955)|Bringing Up Baby (1938)|Hellraiser: Bloodline (1996)|My Man Godfrey (1936)|Seventh Seal, The (Sjunde inseglet, Det) (1957)
Twelve Monkeys (1995)|I.Q. (1994)|Aladdin (1992)|Dances with Wolves (1990)|Unforgiven (1992)|James and the Giant Peach (1996)|Some Like It Hot (1959)|Rear Window (1954)|Ruling Class, The (1972)|Locusts, The (1997)
unknown|Ulee's Gold (1997)|Fly Away Home (1996)|Rainmaker, The (1997)|3 Ninjas: High Noon At Mega Mountain (1998)|Jackie Brown (1997)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|Mary Shelley's Frankenstein (1994)|Winter Guest, The (1997)
Cyrano de Bergerac (1990)|Indiana Jones and the Last Crusade (1989)|Under Siege (1992)|Leaving Las Vegas (1995)|Matilda (1996)|Around the World in 80 Days (1956)|Last Supper, The (1995)|Freeway (1996)|That Thing You Do! (1996)|Phat Beach (1996)
I.Q. (1994)|Sleepless in Seattle (1993)|Home Alone (1990)|Breakfast at Tiffany's (1961)|Top Gun (1986)|Monty Python and the Holy Grail (1974)|This Is Spinal Tap (1984)|Tales From the Crypt Presents: Demon Knight (1995)|Duck Soup (1933)|Courage Under Fire (1996)
Babe (1995)|Cinema Paradiso (1988)|12 Angry Men (1957)|Full Metal Jacket (1987)|Jerry Maguire (1996)|In & Out (1997)|Apt Pupil (1998)|Spy Hard (1996)|Aladdin and the King of Thieves (1996)|Tie Me Up! Tie Me Down! (1990)
True Romance (1993)|Striptease (1996)|Unhook the Stars (1996)|Good Will Hunting (1997)|River Wild, The (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Tales from the Hood (1995)|Picnic (1955)|Benny & Joon (1993)
Chasing Amy (1997)|Rainmaker, The (1997)|Jackie Brown (1997)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Stephen King's The Langoliers (1995)|You So Crazy (1994)
Santa Clause, The (1994)|Nightmare Before Christmas, The (1993)|Jean de Florette (1986)|Henry V (1989)|Shining, The (1980)|Last of the Mohicans, The (1992)|Children of the Corn: The Gathering (1996)|Until the End of the World (Bis ans Ende der Welt) (1991)|Surviving Picasso (1996)|Cutthroat Island (1995)
Twelve Monkeys (1995)|What's Eating Gilbert Grape (1993)|Sleeper (1973)|Sting, The (1973)|Sense and Sensibility (1995)|Secrets & Lies (1996)|Aladdin and the King of Thieves (1996)|Vanya on 42nd Street (1994)|Around the World in 80 Days (1956)|Village of the Damned (1995)
Men in Black (1997)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Tales from the Hood (1995)|Thousand Acres, A (1997)|Beautician and the Beast, The (1997)|You So Crazy (1994)
Schindler's List (1993)|Walk in the Clouds, A (1995)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Stephen King's The Langoliers (1995)|You So Crazy (1994)
Taxi Driver (1976)|Swingers (1996)|Unforgiven (1992)|Indiana Jones and the Last Crusade (1989)|Fierce Creatures (1997)|Donnie Brasco (1997)|Fantasia (1940)|Three Caballeros, The (1945)|Sex, Lies, and Videotape (1989)|Ice Storm, The (1997)
Full Monty, The (1997)|In & Out (1997)|L.A. Confidential (1997)|Dante's Peak (1997)|Edge, The (1997)|Wes Craven's New Nightmare (1994)|Speed (1994)|Wishmaster (1997)|Benny & Joon (1993)|MatchMaker, The (1997)
Jude (1996)|Henry V (1989)|Field of Dreams (1989)|Secrets & Lies (1996)|Marvin's Room (1996)|My Own Private Idaho (1991)|Chamber, The (1996)|Robin Hood: Prince of Thieves (1991)|Wishmaster (1997)|Mr. Magoo (1997)
Muppet Treasure Island (1996)|Outbreak (1995)|Pulp Fiction (1994)|Brazil (1985)|This Is Spinal Tap (1984)|Starship Troopers (1997)|Client, The (1994)|Spy Hard (1996)|Highlander (1986)|Inspector General, The (1949)
Richard III (1995)|Santa Clause, The (1994)|Cold Comfort Farm (1995)|Shining, The (1980)|Trainspotting (1996)|Mary Shelley's Frankenstein (1994)|Quick and the Dead, The (1995)|Stephen King's The Langoliers (1995)|Tales from the Hood (1995)|Airheads (1994)
Crow, The (1994)|Raiders of the Lost Ark (1981)|Dead Poets Society (1989)|Nikita (La Femme Nikita) (1990)|Bridge on the River Kwai, The (1957)|Room with a View, A (1986)|Under Siege (1992)|Fly Away Home (1996)|Magnificent Seven, The (1954)|Gandhi (1982)
Taxi Driver (1976)|Kids in the Hall: Brain Candy (1996)|Striptease (1996)|Swingers (1996)|River Wild, The (1994)|Jack (1996)|Quick and the Dead, The (1995)|Stephen King's The Langoliers (1995)|Murder, My Sweet (1944)|Shiloh (1997)
Terminator 2: Judgment Day (1991)|Striptease (1996)|Sound of Music, The (1965)|Apocalypse Now (1979)|This Is Spinal Tap (1984)|Field of Dreams (1989)|Forbidden Planet (1956)|Some Like It Hot (1959)|Down by Law (1986)
Terminator 2: Judgment Day (1991)|Bedknobs and Broomsticks (1971)|Sound of Music, The (1965)|Princess Bride, The (1987)|M*A*S*H (1970)|Transformers: The Movie, The (1986)|To Kill a Mockingbird (1962)|Jungle Book, The (1994)|Village of the Damned (1995)|Hour of the Pig, The (1993)
Spitfire Grill, The (1996)|Monty Python and the Holy Grail (1974)|Brazil (1985)|Sting, The (1973)|Spy Hard (1996)|For Whom the Bell Tolls (1943)|Great Race, The (1965)|M (1931)|House Arrest (1996)
Mighty Aphrodite (1995)|Professional, The (1994)|Jude (1996)|Return of the Jedi (1983)|Amadeus (1984)|Nikita (La Femme Nikita) (1990)|Cyrano de Bergerac (1990)|Vertigo (1958)|To Catch a Thief (1955)|It Happened One Night (1934)
Austin Powers: International Man of Mystery (1997)|Chasing Amy (1997)|Rosewood (1997)|Midnight in the Garden of Good and Evil (1997)|Dante's Peak (1997)|Broken Arrow (1996)|American in Paris, An (1951)|Last Supper, The (1995)|Balto (1995)|Escape to Witch Mountain (1975)
Four Rooms (1995)|Forrest Gump (1994)|Four Weddings and a Funeral (1994)|Aladdin (1992)|Wizard of Oz, The (1939)|Fish Called Wanda, A (1988)|Return of the Pink Panther, The (1974)|Delicatessen (1991)|Magnificent Seven, The (1954)|Naked in New York (1994)
Ed Wood (1994)|Sleepless in Seattle (1993)|Gone with the Wind (1939)|Sound of Music, The (1965)|Chasing Amy (1997)|Rosewood (1997)|Annie Hall (1977)|Great Escape, The (1963)|Crying Game, The (1992)|House of the Spirits, The (1993)
Richard III (1995)|Cold Comfort Farm (1995)|Wizard of Oz, The (1939)|Private Benjamin (1980)|Graduate, The (1967)|Vertigo (1958)|Maltese Falcon, The (1941)|Killing Fields, The (1984)|Ruling Class, The (1972)|Until the End of the World (Bis ans Ende der Welt) (1991)
Twelve Monkeys (1995)|Muppet Treasure Island (1996)|Spitfire Grill, The (1996)|Willy Wonka and the Chocolate Factory (1971)|Delicatessen (1991)|Blues Brothers, The (1980)|Forbidden Planet (1956)|House of the Spirits, The (1993)|Freeway (1996)|War Room, The (1993)
Seven (Se7en) (1995)|Abyss, The (1989)|Princess Bride, The (1987)|Brazil (1985)|12 Angry Men (1957)|Jerry Maguire (1996)|Smoke (1995)|Philadelphia Story, The (1940)|Vampire in Brooklyn (1995)|Meet Me in St. Louis (1944)
Event Horizon (1997)|Hoodlum (1997)|Cop Land (1997)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Vegas Vacation (1997)|Soul Food (1997)|You So Crazy (1994)
Four Rooms (1995)|I.Q. (1994)|Santa Clause, The (1994)|Aladdin (1992)|Dances with Wolves (1990)|Sound of Music, The (1965)|Apocalypse Now (1979)|Dead Poets Society (1989)|Magnificent Seven, The (1954)|Annie Hall (1977)
Smilla's Sense of Snow (1997)|Men in Black (1997)|Gattaca (1997)|L.A. Confidential (1997)|Mother (1996)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Tales from the Hood (1995)|You So Crazy (1994)
Babe (1995)|I.Q. (1994)|Spitfire Grill, The (1996)|Gone with the Wind (1939)|Princess Bride, The (1987)|Groundhog Day (1993)|Forbidden Planet (1956)|Some Like It Hot (1959)|Michael (1996)|Gaslight (1944)
Walk in the Clouds, A (1995)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)|Coneheads (1993)|You So Crazy (1994)
Ed Wood (1994)|Santa Clause, The (1994)|Bedknobs and Broomsticks (1971)|River Wild, The (1994)|3 Ninjas: High Noon At Mega Mountain (1998)|Naked Gun 33 1/3: The Final Insult (1994)|Spy Hard (1996)|Transformers: The Movie, The (1986)|Bonnie and Clyde (1967)|Somewhere in Time (1980)
Time to Kill, A (1996)|Secrets & Lies (1996)|Scream (1996)|Trainspotting (1996)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Heavenly Creatures (1994)|Interview with the Vampire (1994)|Kid in King Arthur's Court, A (1995)
Welcome to the Dollhouse (1995)|Breakfast at Tiffany's (1961)|Private Benjamin (1980)|Monty Python and the Holy Grail (1974)|Good, The Bad and The Ugly, The (1966)|GoodFellas (1990)|Breaking the Waves (1996)|Tales From the Crypt Presents: Demon Knight (1995)|Spy Hard (1996)|To Kill a Mockingbird (1962)
Crimson Tide (1995)|Frighteners, The (1996)|Dirty Dancing (1987)|Turbo: A Power Rangers Movie (1997)|Amityville Curse, The (1990)|Rudy (1993)|Castle Freak (1995)|Baby-Sitters Club, The (1995)|Little Buddha (1993)
Ice Storm, The (1997)|Walk in the Clouds, A (1995)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Farinelli: il castrato (1994)|Stephen King's The Langoliers (1995)|Jackal, The (1997)|Thousand Acres, A (1997)|Mrs. Dalloway (1997)
Taxi Driver (1976)|Haunted World of Edward D. Wood Jr., The (1995)|Heat (1995)|Waterworld (1995)|White Man's Burden (1995)|Wild Bill (1995)|Stephen King's The Langoliers (1995)|Pretty Woman (1990)|Freeway (1996)|You So Crazy (1994)
I.Q. (1994)|Jurassic Park (1993)|2001: A Space Odyssey (1968)|Delicatessen (1991)|Cyrano de Bergerac (1990)|Under Siege (1992)|Client, The (1994)|East of Eden (1955)|Magnificent Seven, The (1954)|My Life as a Dog (Mitt liv som hund) (1985)
Twelve Monkeys (1995)|Sleepless in Seattle (1993)|Grand Day Out, A (1992)|James and the Giant Peach (1996)|North by Northwest (1959)|Bringing Up Baby (1938)|American in Paris, An (1951)|Touch of Evil (1958)|Stand by Me (1986)
Braveheart (1995)|2001: A Space Odyssey (1968)|Princess Bride, The (1987)|Good, The Bad and The Ugly, The (1966)|Apocalypse Now (1979)|Bridge on the River Kwai, The (1957)|Day the Earth Stood Still, The (1951)|North by Northwest (1959)|African Queen, The (1951)|Bonnie and Clyde (1967)
